pyweather_Zeitpunkt,pyweather_Temperatur,pyweather_Temperatur_felt,pyweather_rel_Luftfeuchtigkeit,pyweather_Himmelbeschreibung,pyweather_Windgeschwindigkeit,sense_hat_Zeitpunkt,sense_hat_Temperatur,sense_hat_Temperatur_hum,sense_hat_Temperatur_pres,sense_hat_Temperatur_cpu,sense_hat_Luftdruck,sense_hat_rel_Luftfeuchtigkeit
2022-07-05_09:50:00,18,18,68,Sonnig,17,2022-07-05_10:53:48,39.57,39.57,38.47,61.3,1021.3,24.86
2022-07-05_09:50:00,18,18,68,Sonnig,17,2022-07-05_10:53:53,39.66,39.66,38.54,59.9,1021.28,24.85
2022-07-05_09:50:00,18,18,68,Sonnig,17,2022-07-05_10:53:58,39.59,39.59,38.5,59.9,1021.27,24.9
2022-07-05_09:50:00,18,18,68,Sonnig,17,2022-07-05_10:54:03,39.61,39.61,38.55,60.8,1021.24,24.8
2022-07-05_09:50:00,18,18,68,Sonnig,17,2022-07-05_10:54:14,39.63,39.63,38.53,58.9,1021.21,25.25
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_10:59:12,40.49,40.49,39.41,58.9,1021.21,24.52
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:00:12,40.16,40.16,39.12,56.4,1021.33,24.61
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:01:12,40.32,40.32,39.15,54.5,1021.28,24.64
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:02:12,39.96,39.96,39.0,55.5,1021.33,24.8
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:03:13,39.97,39.97,38.84,55.5,1021.53,24.91
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:04:13,39.74,39.74,38.67,56.0,1021.63,25.19
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:05:13,39.72,39.81,38.71,54.5,1021.62,24.76
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:06:13,39.74,39.74,38.69,55.0,1021.64,25.18
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:07:13,39.53,39.53,38.53,53.5,1021.66,25.37
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:08:14,39.5,39.5,38.46,54.0,1021.7,25.44
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:09:14,39.64,39.64,38.58,54.5,1021.67,25.61
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:10:14,39.64,39.64,38.63,54.0,1021.66,25.27
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:11:15,39.66,39.66,38.71,53.5,1021.69,27.45
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:12:15,39.64,39.64,38.64,54.0,1021.65,24.98
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:13:15,39.66,39.66,38.78,53.0,1021.62,25.38
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:14:15,39.68,39.68,38.73,54.0,1021.61,25.61
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:15:16,39.7,39.7,38.69,54.5,1021.6,24.99
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:16:16,39.66,39.66,38.59,54.0,1021.58,24.89
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:17:16,39.68,39.68,38.57,54.0,1021.64,25.11
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:18:16,39.52,39.52,38.51,53.5,1021.64,24.95
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:19:17,39.77,39.77,38.72,54.0,1021.54,24.88
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:20:17,39.55,39.55,38.56,53.5,1021.54,24.73
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:21:17,39.83,39.83,38.63,54.0,1021.48,25.61
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:22:17,39.68,39.68,38.64,54.5,1021.45,24.53
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:23:18,39.92,39.92,38.9,54.0,1021.47,24.5
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:24:18,39.77,39.77,38.76,53.0,1021.47,24.37
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:25:18,39.86,39.86,38.77,53.0,1021.48,24.71
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:26:18,39.99,39.99,39.02,55.0,1021.51,24.44
2022-07-05_10:20:00,19,19,56,Überwiegend sonnig,21,2022-07-05_11:27:19,40.14,40.14,39.18,55.0,1021.62,24.46
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:28:19,39.96,39.96,38.94,54.0,1021.6,24.59
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:29:19,40.18,40.18,39.19,55.0,1021.62,24.37
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:30:19,40.27,40.27,39.18,54.5,1021.61,24.22
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:31:20,40.29,40.29,39.3,54.5,1021.65,24.46
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:32:20,40.47,40.47,39.29,54.5,1021.69,24.61
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:33:20,40.21,40.21,39.25,54.5,1021.74,24.66
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:34:20,40.27,40.27,39.25,55.0,1021.76,24.4
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:35:20,40.38,40.38,39.29,55.5,1021.71,24.67
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:36:21,40.25,40.25,39.33,54.5,1021.71,24.64
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:37:21,40.32,40.32,39.28,54.5,1021.74,23.64
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:38:21,40.18,40.18,39.26,54.5,1021.72,24.47
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:39:21,40.36,40.36,39.28,55.0,1021.79,24.67
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:40:22,40.45,40.45,39.28,54.0,1021.75,24.4
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:41:22,40.21,40.21,39.17,54.0,1021.81,24.35
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:42:22,40.27,40.27,39.25,55.5,1021.83,24.57
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:43:23,40.4,40.4,39.35,56.0,1021.7,24.38
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:44:23,40.29,40.29,39.22,54.5,1021.81,24.14
2022-07-05_10:50:00,18,18,56,Teilweise sonnig,18,2022-07-05_11:45:23,40.34,40.34,39.2,55.0,1021.76,24.33
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:46:23,40.25,40.25,39.18,54.5,1021.75,24.14
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:47:24,40.29,40.29,39.31,55.0,1021.68,24.73
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:48:24,40.4,40.4,39.36,55.0,1021.68,24.45
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:49:24,40.36,40.36,39.27,55.0,1021.71,23.94
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:50:24,40.36,40.36,39.29,55.5,1021.7,24.44
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:51:25,40.38,40.38,39.14,55.0,1021.69,24.29
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:52:25,40.45,40.45,39.32,55.5,1021.61,23.8
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:53:25,40.25,40.25,39.17,54.5,1021.57,24.1
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:54:25,40.41,40.41,39.34,56.0,1021.42,24.05
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:55:26,40.49,40.49,39.38,55.5,1021.52,24.15
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:56:26,40.58,40.58,39.39,55.0,1021.53,24.4
2022-07-05_11:20:00,19,19,52,Teilweise sonnig,21,2022-07-05_11:57:26,40.4,40.4,39.35,55.5,1021.68,24.11
