pyweather_Zeitpunkt,pyweather_Temperatur,pyweather_Temperatur_felt,pyweather_rel_Luftfeuchtigkeit_py,sense_hat_Zeitpunkt,sense_hat_Temperatur,sense_hat_Temperatur_hum,sense_hat_Temperatur_pres,sense_hat_Temperatur_cpu,sense_hat_Luftdruck,sense_hat_rel_Luftfeuchtigkeit,sense_hat_Temperatur_sensor
2022-08-27_06:40:00,18,18,94,2022-08-27_09:40:28,27.89,27.96,27.62,63.7,1016.36,63.42,25.937
2022-08-27_06:40:00,18,18,94,2022-08-27_09:41:32,27.8,27.8,27.51,63.3,1016.44,61.3,26.0
2022-08-27_06:40:00,18,18,94,2022-08-27_09:42:35,27.54,27.54,27.21,64.7,1016.4,62.83,25.937
2022-08-27_06:40:00,18,18,94,2022-08-27_09:43:39,27.37,27.37,26.95,63.7,1016.43,61.84,26.0
2022-08-27_06:40:00,18,18,94,2022-08-27_09:44:42,26.99,26.99,26.61,57.9,1016.44,63.14,25.812
2022-08-27_06:40:00,18,18,94,2022-08-27_09:45:44,26.81,26.81,26.51,57.9,1016.48,63.52,25.875
2022-08-27_06:40:00,18,18,94,2022-08-27_09:46:46,26.81,26.81,26.41,56.9,1016.52,64.15,25.75
2022-08-27_06:40:00,18,18,94,2022-08-27_09:47:49,26.79,26.79,26.34,56.0,1016.51,65.85,25.75
2022-08-27_06:40:00,18,18,94,2022-08-27_09:48:51,26.66,26.66,26.27,59.9,1016.54,65.0,25.75
2022-08-27_06:40:00,18,18,94,2022-08-27_09:49:53,26.51,26.51,26.1,56.9,1016.57,64.67,25.687
2022-08-27_06:40:00,18,18,94,2022-08-27_09:50:56,26.49,26.49,26.15,56.4,1016.6,65.72,25.812
2022-08-27_06:40:00,18,18,94,2022-08-27_09:51:58,26.64,26.64,26.25,55.0,1016.6,65.69,26.0
2022-08-27_06:40:00,18,18,94,2022-08-27_09:53:00,26.66,26.66,26.33,54.5,1016.71,64.71,25.812
2022-08-27_06:40:00,18,18,94,2022-08-27_09:54:02,26.62,26.62,26.27,56.0,1016.79,64.23,25.75
2022-08-27_06:40:00,18,18,94,2022-08-27_09:55:05,26.7,26.7,26.36,53.5,1016.79,65.96,25.75
2022-08-27_06:40:00,18,18,94,2022-08-27_09:56:07,26.64,26.64,26.39,52.1,1016.83,64.84,25.75
2022-08-27_06:40:00,18,18,94,2022-08-27_09:57:09,26.86,26.86,26.44,52.1,1016.76,65.06,25.75
